food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_ml,calorie_category,health_score
Scrambled Eggs (2 large),protein/dairy,180,12.0,2.0,14.0,0.0,1.0,180,370,breakfast,250,medium,37.0
Whole Wheat Toast (1 slice),grain,80,4.0,14.0,1.0,2.0,2.0,140,0,breakfast,0,low,52.3
Coffee (black),beverage,5,0.3,0.0,0.1,0.0,0.0,5,0,breakfast,0,low,42.7
Banana,fruit,105,1.3,27.0,0.4,3.1,14.0,1,0,breakfast,0,medium,46.4
Grilled Chicken Salad,meal/protein,350,30.0,10.0,20.0,5.0,4.0,400,80,lunch,500,high,94.0
Apple,fruit,95,0.5,25.0,0.3,4.4,19.0,2,0,snack,0,low,46.6
Salmon (4oz grilled),protein/fish,230,25.0,0.0,14.0,0.0,0.0,60,60,dinner,250,medium,76.9
Quinoa (1 cup cooked),grain,222,8.0,39.0,3.6,5.0,1.0,13,0,dinner,0,medium,74.7
Steamed Broccoli (1 cup),vegetable,55,3.7,11.2,0.6,5.1,2.0,40,0,dinner,0,low,67.0
Greek Yogurt (plain 1 cup),dairy,150,25.0,8.0,3.0,0.0,7.0,85,10,snack,250,medium,73.5
Oatmeal (1 cup cooked),grain,160,6.0,28.0,3.0,4.0,1.0,2,0,breakfast,250,medium,67.6
Blueberries (1/2 cup),fruit,42,0.5,11.0,0.2,1.8,7.0,1,0,breakfast,0,low,45.1
Almonds (1 oz),nut,164,6.0,6.0,14.0,3.5,1.0,1,0,snack,0,medium,65.6
Turkey Sandwich (on wheat),meal/processed,340,22.0,34.0,12.0,5.0,6.0,850,50,lunch,500,high,71.4
Carrot Sticks (1 cup),vegetable,52,1.2,12.3,0.3,3.6,6.0,88,0,snack,0,low,52.6
Spaghetti Bolognese,meal/pasta,460,20.0,55.0,18.0,6.0,10.0,700,50,dinner,250,high,72.7
Side Salad (light dressing),vegetable,70,2.0,8.0,4.0,3.0,3.0,150,0,dinner,0,low,52.3
Protein Shake (Whey),supplement,120,24.0,3.0,1.0,1.0,2.0,160,5,snack,500,medium,78.7
Cereal (Frosted Flakes 1 cup),grain/processed,130,2.0,31.0,0.0,1.0,11.0,190,0,breakfast,0,medium,36.8
Lentil Soup (1 can),meal/legume,230,15.0,35.0,3.0,12.0,6.0,650,0,lunch,250,medium,96.9
White Rice (1 cup cooked),grain,204,4.2,44.5,0.4,0.6,0.1,2,0,dinner,0,medium,51.3
Tofu Stir-fry,meal/vegetarian,400,18.0,30.0,22.0,7.0,9.0,500,0,dinner,250,high,81.6
Orange,fruit,62,1.2,15.4,0.2,3.1,12.0,0,0,snack,0,low,47.8
Bagel (plain),grain,270,11.0,55.0,1.5,2.0,5.0,430,0,breakfast,250,medium,54.4
Cream Cheese (2 tbsp),dairy,100,2.0,2.0,10.0,0.0,1.0,90,30,breakfast,0,medium,41.1
Tuna Salad (1/2 cup),meal/fish,190,19.0,2.0,12.0,1.0,1.0,400,30,lunch,500,medium,65.0
Crackers (5 whole wheat),grain/processed,90,2.0,14.0,3.0,2.0,0.0,180,0,lunch,0,low,49.8
Beef Steak (6oz sirloin),protein/meat,270,42.0,0.0,10.0,0.0,0.0,90,115,dinner,250,medium,100.0
Baked Potato (medium),vegetable,160,4.3,36.0,0.2,3.8,1.0,17,0,dinner,0,medium,63.8
Ice Cream (1/2 cup vanilla),dairy/dessert,145,2.5,17.0,7.5,0.5,16.0,55,30,snack,0,medium,33.0
Pizza (1 slice pepperoni),meal/processed,290,12.0,34.0,12.0,2.0,4.0,720,35,dinner,250,medium,48.5
Avocado Toast (1 slice),meal/vegetarian,260,7.0,28.0,15.0,10.0,1.0,350,0,breakfast,500,medium,86.6
Hard-Boiled Egg (1 large),protein,78,6.3,0.6,5.3,0.0,0.5,62,187,snack,0,low,40.7
Chicken Wrap (with tortilla),meal/processed,410,25.0,38.0,17.0,5.0,3.0,780,60,lunch,250,high,79.5
Grapes (1 cup),fruit,104,1.1,27.0,0.2,1.4,23.0,3,0,snack,0,medium,31.9
Cottage Cheese (1/2 cup),dairy,90,12.0,5.0,3.0,0.0,4.0,400,10,snack,0,low,48.5
Burger (cheeseburger),meal/processed,550,30.0,40.0,30.0,3.0,7.0,1100,90,dinner,500,very_high,67.1
French Fries (medium),vegetable/processed,340,4.0,44.0,17.0,4.0,0.3,230,0,dinner,0,high,60.0
Protein Bar,supplement/processed,210,20.0,22.0,7.0,6.0,1.0,180,5,snack,500,medium,93.7
Black Beans (1/2 cup),legume,114,7.6,20.4,0.5,7.5,0.3,1,0,lunch,0,medium,85.4
Salsa (1/4 cup),vegetable,20,0.8,4.5,0.1,1.0,3.0,250,0,lunch,0,low,39.9
Chicken Noodle Soup (1 can),meal/processed,150,7.0,18.0,5.0,2.0,2.0,890,15,lunch,250,medium,39.5
Peanut Butter (2 tbsp),nut,190,7.0,8.0,16.0,2.0,3.0,140,0,snack,0,medium,56.2
Celery Sticks (1 cup),vegetable,14,0.6,3.0,0.2,1.4,1.2,77,0,snack,0,low,46.5
Cod (4oz baked),protein/fish,95,20.0,0.0,0.8,0.0,0.0,95,55,dinner,250,low,68.6
Green Beans (1 cup),vegetable,31,1.8,7.0,0.2,2.7,3.3,6,0,dinner,0,low,53.7
Chocolate Chip Cookie (1 large),dessert,220,2.5,30.0,11.0,1.5,19.0,160,20,snack,0,medium,33.1
Shrimp (3oz steamed),protein/fish,84,20.0,0.2,0.2,0.0,0.0,100,161,dinner,250,low,63.0
Pancakes (2 medium),grain,180,5.0,30.0,5.0,1.0,6.0,450,25,breakfast,0,medium,38.3
Maple Syrup (2 tbsp),condiment,104,0.0,27.0,0.0,0.0,24.0,2,0,breakfast,0,medium,23.5
Sausage Link (1 cooked),protein/meat,85,5.0,1.0,7.0,0.0,0.5,300,20,breakfast,0,low,42.0
Smoothie (Fruit & Yogurt),beverage/meal,280,12.0,55.0,3.0,7.0,40.0,70,5,breakfast,250,medium,57.3
Tofu (4oz firm),protein/vegetarian,90,10.0,3.0,5.0,2.0,1.0,10,0,lunch,0,low,65.3
Brown Rice (1 cup cooked),grain,215,5.0,45.0,1.8,3.5,0.4,10,0,lunch,0,medium,64.3
Bell Pepper (1 medium red),vegetable,31,1.2,6.0,0.3,2.1,4.2,4,0,lunch,0,low,49.6
Hummus (2 tbsp),legume,70,2.0,4.0,5.0,2.0,0.0,130,0,snack,0,low,50.9
Pita Bread (1 whole wheat),grain,170,6.0,35.0,1.5,5.0,2.0,320,0,snack,0,medium,64.0
Pork Chop (4oz grilled),protein/meat,220,30.0,0.0,10.0,0.0,0.0,70,85,dinner,250,medium,83.3
Mashed Potatoes (1 cup),vegetable,230,4.0,35.0,8.0,3.0,2.0,350,15,dinner,0,medium,51.0
Corn (1 cup),vegetable,132,4.7,30.0,1.8,3.6,8.9,2,0,dinner,0,medium,57.8
Soda (1 can Coke),beverage,140,0.0,39.0,0.0,0.0,39.0,45,0,snack,355,medium,10.8
Pretzels (1 oz),grain/processed,110,3.0,23.0,1.0,1.0,1.0,450,0,snack,0,medium,40.4
Cheddar Cheese (1 oz),dairy,115,7.0,1.0,9.5,0.0,0.5,180,30,snack,0,medium,47.3
Caesar Salad (with chicken),meal/protein,470,30.0,15.0,30.0,3.0,3.0,890,75,lunch,250,high,75.7
Orange Juice (1 cup),beverage,112,1.7,25.8,0.5,0.7,20.8,2,0,breakfast,240,medium,31.6
Bacon (2 slices cooked),protein/meat,86,6.0,0.2,6.8,0.0,0.1,330,18,breakfast,0,low,43.3
Waffles (2 homemade),grain,220,6.0,28.0,9.0,1.5,3.0,420,45,breakfast,0,medium,43.9
Pear,fruit,101,0.6,27.0,0.2,5.5,16.0,2,0,snack,0,medium,53.8
Chicken Breast (4oz roasted),protein/meat,185,35.0,0.0,4.0,0.0,0.0,80,95,lunch,500,medium,90.3
Mixed Nuts (1/4 cup),nut,200,6.0,8.0,18.0,3.0,2.0,1,0,snack,0,medium,62.7
Tilapia (4oz baked),protein/fish,110,22.0,0.0,2.5,0.0,0.0,50,50,dinner,0,medium,73.0
Asparagus (1 cup steamed),vegetable,40,4.3,7.4,0.4,3.6,3.5,4,0,dinner,0,low,61.3
Sweet Potato (1 medium baked),vegetable,103,2.3,23.6,0.2,3.8,7.4,41,0,dinner,0,medium,55.1
Popcorn (3 cups air-popped),grain,93,3.0,18.6,1.1,3.6,0.1,2,0,snack,250,low,62.0
Raisins (1/4 cup),fruit,130,1.3,34.0,0.2,1.6,25.0,5,0,snack,0,medium,31.4
Macaroni & Cheese (1 cup),meal/pasta,350,10.0,40.0,17.0,2.0,5.0,750,40,lunch,250,high,43.6
Tomato Soup (1 can),meal/vegetable,170,4.0,25.0,6.0,4.0,15.0,900,10,lunch,0,medium,33.0
Grilled Cheese Sandwich,meal/processed,390,15.0,32.0,22.0,3.0,4.0,800,60,lunch,0,high,54.3
Beef Tacos (2 hard shell),meal/meat,380,18.0,28.0,22.0,5.0,3.0,600,50,dinner,500,high,73.1
Refried Beans (1/2 cup),legume,115,7.0,19.0,1.0,6.0,1.0,480,0,dinner,0,medium,66.9
Guacamole (1/4 cup),vegetable/condiment,90,1.0,4.0,8.0,3.0,0.5,120,0,dinner,0,low,53.4
Watermelon (1 cup diced),fruit,46,0.9,11.5,0.2,0.6,9.4,2,0,snack,0,low,38.9
English Muffin (whole wheat),grain,134,6.0,26.0,1.0,4.4,1.0,210,0,breakfast,250,medium,64.7
Peanut Butter & Jelly Sandwich,meal/processed,390,12.0,50.0,17.0,5.0,20.0,450,0,lunch,250,high,56.4
Clam Chowder (1 cup),meal/seafood,200,10.0,18.0,9.0,1.0,2.0,870,30,lunch,0,medium,39.7
Iced Tea (Sweetened 16oz),beverage,180,0.0,46.0,0.0,0.0,46.0,15,0,snack,500,medium,6.0
Lasagna (1 serving meat),meal/pasta,350,20.0,30.0,17.0,4.0,7.0,850,55,dinner,250,high,63.1
Garlic Bread (1 slice),grain,150,4.0,18.0,7.0,1.0,1.0,310,0,dinner,0,medium,45.1
Chocolate Milk (1 cup),beverage/dairy,200,8.0,26.0,8.0,1.0,24.0,160,30,snack,0,medium,35.1
White Bread (1 slice),grain,70,2.0,13.0,1.0,0.6,1.2,140,0,breakfast,0,low,43.9
Jelly (1 tbsp grape),condiment,50,0.0,13.0,0.0,0.1,12.0,5,0,breakfast,0,low,33.3
Veggie Burger (1 patty),protein/vegetarian,120,11.0,10.0,4.0,5.0,1.0,350,0,lunch,250,medium,71.9
Bun (hamburger),grain,140,4.0,26.0,2.0,1.0,4.0,260,0,lunch,0,medium,43.9
Ketchup (1 tbsp),condiment,20,0.2,5.0,0.1,0.2,4.0,160,0,lunch,0,low,36.8
Muffin (Blueberry 1 large),grain/dessert,380,5.0,55.0,16.0,2.0,30.0,350,50,breakfast,250,high,24.7
Coffee (with cream/sugar),beverage,50,0.5,5.0,3.0,0.0,4.5,10,10,breakfast,250,low,38.9
Potato Chips (1 oz),snack/processed,160,2.0,15.0,10.0,1.0,0.5,170,0,snack,0,medium,45.5
Tzatziki Sauce (2 tbsp),condiment/dairy,30,1.5,2.0,2.0,0.0,1.5,100,5,dinner,0,low,41.0
Scallops (3oz seared),protein/seafood,95,17.0,5.0,1.0,0.0,0.0,180,35,dinner,0,low,63.1
Risotto (Mushroom 1 cup),meal/grain,250,7.0,35.0,9.0,3.0,3.0,600,20,dinner,0,medium,49.1
Caprese Salad,meal/vegetable,240,10.0,8.0,18.0,2.0,5.0,350,40,lunch,250,medium,52.6
Balsamic Vinaigrette (2 tbsp),condiment,90,0.0,3.0,9.0,0.0,2.5,300,0,lunch,0,low,33.7
Cherries (1 cup),fruit,77,1.6,19.0,0.5,2.5,15.0,0,0,snack,0,low,43.6
Turkey Bacon (2 slices),protein/meat,70,6.0,1.0,5.0,0.0,0.5,360,30,breakfast,0,low,41.7
Grits (1 cup cooked),grain,150,3.0,32.0,1.0,2.0,0.5,320,0,breakfast,0,medium,47.9
Butter (1 tbsp),condiment/dairy,100,0.1,0.0,11.0,0.0,0.0,82,30,breakfast,0,medium,39.1
Meatball Sub (6 inch),meal/processed,580,28.0,55.0,27.0,6.0,10.0,1200,70,lunch,500,very_high,73.1
Kiwifruit (1 medium),fruit,46,0.9,11.1,0.4,2.3,6.7,2,0,snack,0,low,48.1
Beef Jerky (1 oz),snack/processed,116,9.4,3.1,7.2,0.5,2.5,590,30,snack,0,medium,42.5
Figs (2 medium),fruit,74,0.6,19.2,0.3,2.9,16.2,2,0,snack,0,low,42.7
Lobster (3oz steamed),protein/seafood,76,16.0,0.0,0.7,0.0,0.0,250,125,dinner,250,low,55.3
Melted Butter (for lobster),condiment,200,0.2,0.0,22.0,0.0,0.0,164,60,dinner,0,medium,35.9
Corn on the Cob (1 large),vegetable,125,5.0,29.0,1.5,3.0,5.0,2,0,dinner,0,medium,58.7
Vegetable Soup (1 can),meal/vegetable,140,4.0,22.0,4.0,6.0,8.0,780,5,lunch,250,medium,49.8
Saltine Crackers (5 crackers),grain/processed,60,1.0,10.0,1.5,0.5,0.0,140,0,lunch,0,low,42.9
Mango (1 cup slices),fruit,99,1.4,24.7,0.6,2.6,22.5,2,0,snack,0,low,37.8
Cheesecake (1 slice),dessert,320,5.0,28.0,21.0,1.0,20.0,280,65,snack,250,high,29.1
Pad Thai (Chicken 1.5 cups),meal/pasta,550,25.0,60.0,22.0,5.0,10.0,950,70,dinner,500,very_high,69.7
Spring Roll (Veg 2 rolls),snack/processed,180,4.0,25.0,7.0,3.0,3.0,450,0,dinner,0,medium,48.8
Coconut Water (1 cup),beverage,46,1.7,8.9,0.5,2.6,6.3,252,0,snack,240,low,45.3
Kimchi (1/2 cup),vegetable,22,1.7,4.0,0.4,2.4,1.5,750,0,side,0,low,37.2
Sashimi (Salmon 3 pcs),protein/fish,120,18.0,0.0,5.0,0.0,0.0,45,40,lunch,0,medium,67.4
Wasabi (1 tsp),condiment,10,0.1,2.2,0.1,0.3,1.0,40,0,lunch,0,low,42.1
Seaweed Salad (1/2 cup),vegetable,60,2.0,8.0,3.0,2.0,4.0,350,0,lunch,0,low,42.9
French Onion Soup (1 cup),meal,150,6.0,15.0,7.0,2.0,5.0,800,20,lunch,250,medium,37.3
Croutons (1/4 cup),grain,50,1.5,7.0,2.0,0.5,0.5,140,0,lunch,0,low,43.3
Shepherd's Pie (1 serving),meal/meat,400,20.0,35.0,20.0,6.0,7.0,850,55,dinner,250,high,71.5
Green Peas (1/2 cup),legume,62,4.1,11.1,0.2,4.4,4.2,2,0,dinner,0,low,63.8
Apple Pie (1 slice),dessert,410,3.0,58.0,19.0,3.0,25.0,320,0,snack,0,high,32.9
Gin & Tonic (1 drink),beverage,170,0.0,13.0,0.0,0.0,13.0,2,0,snack,180,medium,32.1
Red Wine (5 oz glass),beverage,125,0.1,3.8,0.0,0.0,0.9,6,0,dinner,0,medium,41.7
Halibut (4oz baked),protein/fish,125,24.0,0.0,2.5,0.0,0.0,60,40,dinner,250,medium,76.4
Quinoa Salad (1 cup),meal/vegetarian,260,9.0,32.0,12.0,6.0,4.0,300,0,lunch,250,medium,71.7
Lemonade (1 cup),beverage,99,0.1,26.0,0.0,0.1,25.0,30,0,snack,240,low,22.7
Pistachios (1 oz shelled),nut,159,5.7,7.7,12.8,3.0,2.2,2,0,snack,0,medium,62.0
Oat Milk (1 cup),beverage/dairy-alt,120,3.0,16.0,5.0,2.0,7.0,100,0,breakfast,0,medium,47.7
Biscuits and Gravy (1 serving),meal/processed,480,10.0,45.0,28.0,2.0,3.0,1100,35,breakfast,250,high,37.7
Avocado (1/2 fruit),fruit,160,2.0,8.5,14.7,6.7,0.7,7,0,breakfast,0,medium,72.8
Corn Flakes (1 cup),grain,100,2.0,24.0,0.0,1.0,3.0,200,0,breakfast,0,medium,42.8
T-Bone Steak (6oz),protein/meat,460,38.0,0.0,33.0,0.0,0.0,110,105,dinner,0,high,93.8
Creamed Spinach (1/2 cup),vegetable,190,5.0,8.0,16.0,3.0,2.0,450,50,dinner,0,medium,48.5
Pecans (1 oz),nut,196,2.6,3.9,20.4,2.7,1.1,0,0,snack,0,medium,56.8
Fruit Cocktail (canned 1 cup),fruit,110,1.0,28.0,0.0,2.0,26.0,10,0,snack,0,medium,31.7
Ramen (Instant 1 pack),meal/processed,380,9.0,53.0,14.0,2.0,2.0,1580,0,lunch,500,high,28.0
Mocha Latte (16oz),beverage,360,12.0,48.0,15.0,2.0,42.0,150,45,snack,473,high,31.0
Cucumber Slices (1 cup),vegetable,16,0.7,3.6,0.1,0.5,1.7,2,0,snack,0,low,44.1
Feta Cheese (1 oz),dairy,75,4.0,1.2,6.1,0.0,0.7,316,25,lunch,0,low,39.7
Olives (Kalamata 5 large),fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,lunch,0,low,40.1
Chicken Alfredo (1.5 cups),meal/pasta,680,35.0,45.0,38.0,4.0,5.0,980,120,dinner,250,very_high,81.8
Breadstick (1 large),grain,160,4.0,28.0,3.0,1.0,2.0,350,0,dinner,0,medium,43.4
Cobb Salad,meal/protein,510,30.0,12.0,38.0,7.0,6.0,800,210,lunch,500,very_high,85.1
Blue Cheese Dressing (2 tbsp),condiment,150,1.0,2.0,16.0,0.0,1.0,320,10,lunch,0,medium,35.5
Mandarin Orange (1 medium),fruit,37,0.6,9.3,0.2,1.3,7.3,1,0,snack,0,low,43.0
Cashews (1 oz roasted),nut,163,4.3,9.2,13.1,0.9,1.4,140,0,snack,0,medium,48.6
Eggo Waffle (2 waffles),grain/processed,180,4.0,30.0,5.0,1.0,4.0,400,0,breakfast,0,medium,40.7
Pulled Pork Sandwich,meal/meat,480,25.0,48.0,20.0,3.0,15.0,900,75,lunch,250,high,58.3
Macadamia Nuts (1 oz),nut,204,2.2,3.9,21.5,2.4,1.3,1,0,snack,0,medium,54.8
Crab Cakes (2 medium),meal/seafood,340,20.0,18.0,20.0,1.0,2.0,700,120,dinner,250,high,54.4
Tartar Sauce (2 tbsp),condiment,60,0.2,2.0,5.5,0.1,1.5,180,5,dinner,0,low,37.6
Lemon Bar (1 square),dessert,150,1.5,22.0,6.0,0.5,15.0,80,30,snack,0,medium,31.7
Almond Milk (Unsweetened 1 cup),beverage/dairy-alt,30,1.0,1.0,2.5,1.0,0.0,160,0,breakfast,240,low,44.5
Rice Krispies (1.5 cups),grain,160,3.0,37.0,0.5,0.5,4.0,290,0,breakfast,0,medium,39.5
Sugar (1 tsp for cereal),condiment,16,0.0,4.0,0.0,0.0,4.0,0,0,breakfast,0,low,39.2
Tuna (Canned 3oz in water),protein/fish,90,20.0,0.0,1.0,0.0,0.0,250,35,lunch,0,low,66.2
Mayonnaise (1 tbsp),condiment,90,0.1,0.1,10.0,0.0,0.1,70,5,lunch,0,low,40.6
Pickle (1 spear dill),vegetable,5,0.2,1.0,0.1,0.3,0.5,300,0,lunch,0,low,36.8
Lobster Bisque (1 cup),meal/seafood,250,8.0,12.0,18.0,1.0,3.0,850,50,lunch,250,medium,35.2
Reuben Sandwich,meal/processed,650,28.0,35.0,40.0,5.0,6.0,1500,100,lunch,500,very_high,63.7
Sauerkraut (1/4 cup side),vegetable,7,0.3,1.5,0.0,1.0,0.6,234,0,lunch,0,low,41.3
Mushroom (White 1 cup sliced),vegetable,15,2.2,2.3,0.2,0.7,1.4,4,0,dinner,0,low,47.5
Soy Milk (Original 1 cup),beverage/dairy-alt,110,8.0,9.0,4.5,2.0,6.0,125,0,breakfast,240,medium,55.7
Chicken Tikka Masala (1.5 cups),meal/meat,480,30.0,20.0,30.0,5.0,8.0,900,95,dinner,250,high,78.9
Naan Bread (1 piece),grain,260,8.0,45.0,5.0,2.0,3.0,450,10,dinner,0,medium,50.3
Cucumber Salad (1/2 cup),vegetable,40,1.0,5.0,2.0,1.0,4.0,200,0,dinner,0,low,40.5
Vodka Soda (1 drink),beverage,100,0.0,0.0,0.0,0.0,0.0,5,0,snack,180,medium,42.2
Chocolate Croissant,dessert,350,6.0,40.0,19.0,3.0,15.0,300,40,breakfast,250,high,43.8
Sweet & Sour Chicken (1 cup),meal/processed,380,18.0,45.0,15.0,3.0,25.0,750,50,dinner,0,high,44.2
Egg Drop Soup (1 cup),meal/vegetable,65,5.0,6.0,2.0,0.5,1.0,780,50,dinner,0,low,31.5
String Cheese (1 stick),dairy,80,6.0,1.0,6.0,0.0,0.0,210,20,snack,0,low,46.0
Turkey Burger (1 patty),protein/meat,160,22.0,2.0,8.0,0.0,1.0,400,70,lunch,250,medium,63.4
Potato Salad (1/2 cup),meal/vegetable,180,2.0,19.0,11.0,2.0,3.0,500,10,lunch,0,medium,39.8
Cranberry Juice (1 cup),beverage,130,0.0,33.0,0.0,0.0,30.0,10,0,breakfast,240,medium,18.7
Chicken Piccata (1 serving),meal/meat,350,30.0,10.0,20.0,1.0,2.0,600,90,dinner,250,high,73.8
Angel Hair Pasta (1 cup),grain,200,7.0,42.0,1.0,2.0,1.0,1,0,dinner,0,medium,60.9
Olive Oil (1 tbsp),condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,dinner,0,medium,42.3
Garlic (1 clove),vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,dinner,0,low,43.0
Salami (3 slices),protein/processed,110,6.0,1.0,9.0,0.0,0.5,500,30,snack,0,medium,38.6
Provolone Cheese (1 slice),dairy,100,7.0,1.0,8.0,0.0,0.5,250,20,snack,0,medium,46.3
Ginger Ale (1 can),beverage,124,0.0,32.0,0.0,0.0,31.0,40,0,snack,355,medium,17.2
Shrimp Scampi (1 cup),meal/seafood,380,22.0,40.0,15.0,3.0,3.0,750,140,dinner,0,high,62.9
